Name,Address,Email,Phone
John Doe,123 Main Street,john.doe@example.com,555-555-5555
Jane Doe,456 Elm Street,jane.doe@example.com,666-666-6666
Mary Smith,789 Oak Street,mary.smith@example.com,777-777-7777
Peter Jones,1011 Main Street,peter.jones@example.com,888-888-8888
Susan Brown,1212 Elm Street,susan.brown@example.com,999-999-9999
David Green,1313 Oak Street,david.green@example.com,000-000-0000
Elizabeth White,1414 Main Street,elizabeth.white@example.com,111-111-1111
Michael Black,1515 Elm Street,michael.black@example.com,222-222-2222
Sarah Blue,1616 Oak Street,sarah.blue@example.com,333-333-3333
James Brown,1717 Main Street,james.brown@example.com,444-444-4444
